model,MAE,RMSE,MedAE,R2,P90,P95,MaxE,MAPE
ols,167.01405009336676,208.79016107448484,153.31021802563328,0.7805702572105134,302.1172249772385,356.6227283652489,1058.5833634204632,14.98499133621081
rr_1,166.98165281622633,208.72434980310092,153.86966237214392,0.7807085652070508,301.8463577974982,356.70128503854414,1058.3968669167034,14.992692196890008
rr_10,166.71575741274563,208.17999818252576,155.44508214982415,0.7818508946747497,299.42767461775173,357.4013577683647,1056.7372894397558,15.062491325683377
rr_0.1,167.01080742945152,208.7835311895876,153.37077090204002,0.7805841924537511,302.09011473718056,356.6305910366198,1058.5646946594081,14.985762168152908
prr2,103.12374633144972,143.7527330929381,81.13927026866713,0.8959822018776865,191.01235212067587,240.11147557596564,1030.8662282102505,10.397810355149423
prr3,96.34594451698696,133.4098498992271,86.59062059182185,0.9104117142694858,177.22476894232474,197.547285479472,1006.4486635922581,9.322470585246869
rf_6,75.16132923414733,113.2300396232026,57.668731510979285,0.9354644888877328,151.91637002681398,186.56772488038123,978.7942406586837,6.875807703810162
rf_12,71.4466806695882,112.5296378716872,50.16023863095444,0.9362604081858052,154.51506223021775,180.15025997618895,989.4386338013867,6.672079061716003
lasso,167.00032224009564,208.76311491857888,153.5584098719567,0.7806271022899772,301.9880449716934,356.6615864689852,1058.5260955069575,14.987292134987088
enet,165.9437534084983,206.94088572916996,152.60503969549939,0.784440065707537,300.753865868711,359.3936264769471,1051.4123975186783,15.291612961873927
gbr_base,70.10605609405098,110.15951971234787,53.26776883928272,0.9389171203577616,136.50783238454764,192.27244604868912,978.1934930929692,6.480517190945025
gbr_slow,70.91826708596415,110.01221362772503,56.38407409992442,0.9390803720467116,134.63656151698555,174.10498308658458,993.1843056185501,6.567820482815252
gbr_shallow,68.44925207920633,106.7625438446224,52.47374995336406,0.9426262466781418,135.22514149926553,159.9347817463184,978.7760415401449,6.346276545661313
gbr_stochastic,73.2358374018374,112.11329149866258,54.796587861679654,0.936731193573621,154.26096195451603,193.4395443388404,960.3981387588456,6.665802179592434
dt_5,114.66786853062226,155.83394823288955,88.84199839670157,0.8777638722448006,224.71715945945954,279.8634571428566,1033.0343103448276,10.343698153830552
dt_10,98.39807752525253,145.14822037294286,69.995,0.8939528830124186,213.4200000000001,282.1633333333333,975.71,9.383213616506431
dt_25,97.24455,143.38764737765942,75.78499999999985,0.8965098744825204,198.23999999999995,250.42749999999984,974.51,9.198680192494988
dt_50,97.24455,143.38764737765942,75.78499999999985,0.8965098744825204,198.23999999999995,250.42749999999984,974.51,9.198680192494988
